epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.60439,2.54934,14.0357,2.28432,0.00122,0.36667,0.00085,0.00019,1.89713,14.8212,2.06065,0.0002,0.0002,0.0002
2,5.6784,1.21618,4.64921,1.31656,0.26678,0.56667,0.19559,0.12742,1.17132,2.80339,1.1089,0.000411684,0.000411684,0.000411684
3,7.98446,0.89137,1.20669,0.96258,0.07118,0.2,0.0347,0.02213,1.69541,4.13824,1.60646,0.000614656,0.000614656,0.000614656
4,10.1276,0.9184,0.81524,0.95757,0.92671,1,0.995,0.70108,1.10436,1.38151,1.27817,0.000808916,0.000808916,0.000808916
5,12.3301,0.88921,0.76669,0.9555,0.96223,1,0.995,0.704,1.0766,1.68933,1.11132,0.000994464,0.000994464,0.000994464
6,14.5276,0.92193,0.66098,0.9468,0.97599,1,0.995,0.70545,0.87273,1.41613,1.10243,0.0011713,0.0011713,0.0011713
7,16.7209,0.84147,0.60016,0.93091,0.94542,1,0.99403,0.74199,0.97222,3.0923,1.07456,0.00133942,0.00133942,0.00133942
8,18.8991,0.8641,0.59273,0.91089,0.14469,0.1,0.04794,0.01638,3.99218,3.54803,3.15867,0.00149884,0.00149884,0.00149884
9,20.9694,0.83737,0.57416,0.93268,0.96728,1,0.995,0.70496,0.93743,1.8064,1.07112,0.00164954,0.00164954,0.00164954
10,23.0169,0.79178,0.53124,0.9292,0.96873,1,0.995,0.73349,0.95375,1.93569,1.04102,0.0016436,0.0016436,0.0016436
11,25.0357,0.83874,0.54653,0.92799,0.91746,1,0.995,0.81772,0.75225,1.79595,0.94689,0.001604,0.001604,0.001604
12,27.1203,0.85576,0.55715,0.93726,0.99206,1,0.995,0.76692,0.8669,0.9885,0.97831,0.0015644,0.0015644,0.0015644
13,29.0565,0.79193,0.50582,0.93156,0.99804,1,0.995,0.77821,0.78758,0.43223,0.92637,0.0015248,0.0015248,0.0015248
14,31.0599,0.8094,0.50884,0.91471,0.99703,0.93333,0.9587,0.77477,0.78197,0.52497,0.96213,0.0014852,0.0014852,0.0014852
15,33.1596,0.81464,0.49301,0.92268,0.98896,1,0.995,0.77381,0.84737,0.58347,0.96049,0.0014456,0.0014456,0.0014456
16,35.243,0.76313,0.47416,0.89222,0.99427,1,0.995,0.76354,0.78511,0.46686,0.93325,0.001406,0.001406,0.001406
17,37.2434,0.71321,0.45531,0.8854,0.77962,0.76667,0.78738,0.53322,1.22628,1.05599,1.12256,0.0013664,0.0013664,0.0013664
18,39.2725,0.76008,0.47762,0.91946,0.98741,1,0.995,0.76809,0.81107,0.79614,0.93798,0.0013268,0.0013268,0.0013268
19,41.3512,0.7234,0.45712,0.88418,0.99185,1,0.995,0.80648,0.701,0.47101,0.90763,0.0012872,0.0012872,0.0012872
20,43.4101,0.72498,0.44193,0.92056,0.99745,1,0.995,0.78844,0.83378,0.39496,0.92789,0.0012476,0.0012476,0.0012476
21,45.4196,0.67614,0.41748,0.88278,0.99611,1,0.995,0.80833,0.7016,0.45585,0.8964,0.001208,0.001208,0.001208
22,47.456,0.69607,0.42351,0.89397,0.99804,1,0.995,0.83905,0.68949,0.36435,0.89111,0.0011684,0.0011684,0.0011684
23,49.6289,0.74051,0.43745,0.90926,0.99357,1,0.995,0.78306,0.84793,0.43301,0.95685,0.0011288,0.0011288,0.0011288
24,51.7319,0.69314,0.43383,0.89236,0.99609,1,0.995,0.82682,0.68298,0.38381,0.88983,0.0010892,0.0010892,0.0010892
25,53.7889,0.66568,0.39564,0.87654,0.99808,1,0.995,0.81849,0.70206,0.3596,0.89977,0.0010496,0.0010496,0.0010496
26,55.8648,0.65198,0.3824,0.88257,0.99789,1,0.995,0.81095,0.723,0.39182,0.8959,0.00101,0.00101,0.00101
27,57.8884,0.68818,0.39682,0.89508,0.99544,1,0.995,0.8295,0.68208,0.34269,0.88597,0.0009704,0.0009704,0.0009704
28,59.8947,0.63278,0.36815,0.8786,0.99793,1,0.995,0.83048,0.65497,0.34397,0.882,0.0009308,0.0009308,0.0009308
29,61.9475,0.66234,0.3854,0.87518,0.99496,1,0.995,0.8582,0.66345,0.35156,0.88719,0.0008912,0.0008912,0.0008912
30,63.9618,0.65172,0.38932,0.89516,0.99576,1,0.995,0.83005,0.72855,0.37519,0.89925,0.0008516,0.0008516,0.0008516
31,65.9511,0.64381,0.37576,0.8618,0.9968,1,0.995,0.85047,0.60827,0.35211,0.86894,0.000812,0.000812,0.000812
32,68.0421,0.66098,0.37069,0.87973,0.99765,1,0.995,0.84415,0.66172,0.35995,0.8828,0.0007724,0.0007724,0.0007724
33,70.1486,0.66412,0.36978,0.90166,0.99788,1,0.995,0.8212,0.77682,0.35651,0.914,0.0007328,0.0007328,0.0007328
34,72.1778,0.67351,0.37346,0.89213,0.99737,1,0.995,0.84534,0.66495,0.35909,0.87831,0.0006932,0.0006932,0.0006932
35,74.3801,0.68156,0.37974,0.87425,0.99757,1,0.995,0.7796,0.79552,0.38528,0.90707,0.0006536,0.0006536,0.0006536
36,76.4709,0.66155,0.36383,0.87381,0.99743,1,0.995,0.83093,0.66242,0.31476,0.8807,0.000614,0.000614,0.000614
37,78.5485,0.6216,0.35549,0.87479,0.99777,1,0.995,0.82476,0.65455,0.32264,0.87396,0.0005744,0.0005744,0.0005744
38,80.6333,0.6282,0.34705,0.86806,0.99798,1,0.995,0.85293,0.68237,0.30333,0.88564,0.0005348,0.0005348,0.0005348
39,82.672,0.61659,0.34544,0.87138,0.99809,1,0.995,0.86729,0.59777,0.32341,0.86118,0.0004952,0.0004952,0.0004952
40,84.7812,0.60106,0.34018,0.86818,0.99808,1,0.995,0.84353,0.61761,0.31568,0.86881,0.0004556,0.0004556,0.0004556
41,88.263,0.58688,0.29982,0.84519,0.99796,1,0.995,0.84654,0.6129,0.321,0.86134,0.000416,0.000416,0.000416
42,90.4408,0.58856,0.30012,0.85694,0.99805,1,0.995,0.82462,0.71286,0.31834,0.88864,0.0003764,0.0003764,0.0003764
43,92.4882,0.56311,0.30035,0.84652,0.99798,1,0.995,0.85169,0.63067,0.30415,0.86516,0.0003368,0.0003368,0.0003368
44,94.5261,0.5722,0.29505,0.85593,0.99803,1,0.995,0.85908,0.60399,0.30891,0.85989,0.0002972,0.0002972,0.0002972
45,96.4952,0.57025,0.29312,0.85661,0.99808,1,0.995,0.86117,0.59624,0.28865,0.86233,0.0002576,0.0002576,0.0002576
46,98.5028,0.55787,0.27654,0.84623,0.99808,1,0.995,0.8667,0.61782,0.28361,0.86441,0.000218,0.000218,0.000218
47,100.564,0.55003,0.27148,0.84443,0.99808,1,0.995,0.85862,0.63526,0.28895,0.86878,0.0001784,0.0001784,0.0001784
48,102.657,0.53254,0.26917,0.83914,0.99805,1,0.995,0.86259,0.61648,0.28501,0.86325,0.0001388,0.0001388,0.0001388
49,104.705,0.53917,0.27558,0.85062,0.99806,1,0.995,0.86915,0.59739,0.2786,0.85839,9.92e-05,9.92e-05,9.92e-05
50,106.886,0.53159,0.26072,0.8327,0.9981,1,0.995,0.86659,0.60553,0.27389,0.8601,5.96e-05,5.96e-05,5.96e-05
